댓글,시간,년,월,일,시,d
잘보고갑니다. 좋은 하루되세요~,2019-03-03T17:22:04.000Z,2019,03,03,17,0
잘보고갑니다 ^^* 좋은 날 되세요,2019-03-03T17:22:04.000Z,2019,03,03,17,0
안녕하세요🙋‍♀️저는 유튜버의 이야기를 소개하고있습니다.팔로우 하고 가요!!유튜브 문화에 관심있으시면 저랑 맞팔해주세요❤️,2019-05-31T00:15:52.000Z,2019,05,31,00,1
최애음식이네요진심💕,2019-05-31T00:15:52.000Z,2019,05,31,00,1
야식치고 너무 과한거 아닙니까,2018-12-29T16:00:31.000Z,2018,12,29,16,0
라볶이 최고졍 ㅋㅋㅋ 갑자기 먹고싶어져서 우째요 😭😭 최고 맛있는 분식 인정 ㅎㅎ 먹스타그램 공유해욤 선팔했어욧 😋😋💕,2018-12-29T16:00:31.000Z,2018,12,29,16,0
ㅋㅋㅋㅋ 맛있겠다 ㅋㅋㅋㅋ 맥주도 맛나긋다 ㅋㅋㅋㅋㅋ,2019-01-10T10:32:56.000Z,2019,01,10,10,0
만두 때깔 곱다 ㅎ,2019-01-10T10:32:56.000Z,2019,01,10,10,0
술꾼이구먼?ㅋ,2019-01-10T10:32:56.000Z,2019,01,10,10,0
원없이 드셨으니..당분간..만두는 그만..💕,2019-01-10T10:32:56.000Z,2019,01,10,10,0
나두 주시게 김서방,2019-01-10T10:32:56.000Z,2019,01,10,10,0
뿌잉뿌잉,2019-04-20T14:29:40.000Z,2019,04,20,14,0
담에같이궈궈ㅋㅋ,2019-04-20T14:29:40.000Z,2019,04,20,14,0
안녕하세요~ 강남반영구 라피네 입니다. 반영구에 관심있으시면 제 페이지에도 놀러오세요 !,2019-04-20T14:29:40.000Z,2019,04,20,14,0
안녕하세요 ! 짱구아빠중고차 최정진 입니다. 페이지내에 고객님들과 함께한 소중한 후기들이 있습니다. 중고차 시세나 궁금한점 있으시면 언제든지 문의주세요 ! 감사합니다.,2019-05-12T12:27:39.000Z,2019,05,12,12,0
